S0,S1,S2,S3,S4,S5,S6,S7,,,,,,
339,210,147.316,145.574,142.734,143.066,143.856,140.533,,,,,,
340,240,169.28,166.795,163.312,163.692,164.387,160.244,,,,,,
341,272,192.865,189.596,185.408,185.719,186.33,181.293,,,,,,
342,306,218.071,213.983,209.059,209.147,209.683,203.688,,,,,,
343,342,244.902,239.976,234.287,233.974,234.444,227.435,,,,,,
344,380,273.357,267.583,261.069,260.199,260.612,252.533,,,,,,
345,420,303.435,296.809,289.449,287.822,288.184,278.975,,,,,,
346,462,335.132,327.657,319.446,316.842,317.159,306.787,,,,,,
347,506,368.444,360.13,351.086,347.259,347.537,335.976,,,,,,
348,552,403.37,394.229,384.363,379.072,379.315,366.548,,,,,,
349,600,439.909,429.954,419.293,412.282,412.494,398.505,,,,,,
350,650,478.06,467.304,455.881,446.888,447.071,431.851,,,,,,
351,702,517.819,506.278,494.125,482.891,483.047,466.595,,,,,,
352,756,559.181,546.874,534.022,520.29,520.421,502.741,,,,,,
353,812,602.153,589.089,575.568,559.084,559.193,540.282,,,,,,
354,870,646.73,632.921,618.772,599.275,599.362,579.229,,,,,,
355,930,692.911,678.37,663.635,640.862,640.928,619.587,,,,,,
356,992,740.694,725.436,710.157,683.845,683.891,661.361,,,,,,
357,1056,790.079,774.116,758.336,728.224,728.25,704.553,,,,,,
358,1122,841.064,824.41,807.072,773.999,774.006,748.859,,,,,,
359,1190,883.657,854.399,830.543,812.632,802.209,770.044,,,,,,
360,1225,895.931,864.587,842.203,823.437,810.873,780.522,,,,,,
361,0,0,0,0,0,0,0,,,,,,
362,2,0.901818,0.901818,0.893694,0.901818,0.901818,0.893694,,,,,,
363,6,2.77398,2.74531,2.71511,2.77398,2.74531,2.71511,,,,,,
364,12,5.7422,5.61368,5.53661,5.7422,5.61368,5.53661,,,,,,
365,20,9.86622,9.5596,9.38183,9.86608,9.55959,9.38182,,,,,,
366,30,15.227,14.6208,14.2847,15.2249,14.6207,14.2846,,,,,,
367,42,21.913,20.886,20.3374,21.9002,20.8851,20.3365,,,,,,
